Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.793579,-0.167725,-1.035889,-122.558586,-401.123016,-33.935547
0.025024,0.536621,0.998779,-171.325668,-422.546356,-80.688469
-0.544434,0.828613,3.220947,-89.538567,-291.381836,-64.025879
-0.043579,0.996094,3.776367,52.673336,39.978027,-10.437011
0.546875,0.721436,2.236206,93.872063,350.524872,-2.929687
0.258179,0.285767,0.99353,84.472649,381.835907,-10.986327
0.098022,-0.145874,0.070801,116.149895,301.086426,50.23193
1.047485,-0.522583,-1.786621,139.648437,130.859375,106.994621
1.684448,-0.650757,-2.420166,11.779784,-121.459953,86.85302
1.017578,-0.231934,-1.291748,-116.08886,-296.264648,8.361816
0.50415,0.512573,0.477539,-144.042969,-334.106415,-22.094725
-0.07605,0.923828,2.832275,-137.451172,-330.871552,-78.491211
-0.141602,1.108643,3.999878,-27.770994,-141.540527,-75.317383
0.555664,0.866455,2.660645,99.426262,221.374496,-26.06201
0.328125,0.23877,0.707642,120.910637,429.93161,-10.498046
0.153564,-0.394531,-0.592651,133.483887,322.631805,19.53125
1.057373,-0.646606,-1.806763,139.282227,140.74707,89.782707
1.394043,-0.62854,-2.267822,41.015621,-37.658691,103.820793
0.942627,-0.160278,-1.331177,-83.129875,-232.849106,37.597656
0.647705,0.517578,0.2323,-130.67627,-338.623016,-29.785154
-0.003052,0.883789,2.527344,-151.306152,-324.523895,-96.130363
-0.283325,1.01355,3.999878,-71.716309,-161.071762,-107.971184
0.563232,0.913208,2.879639,71.105957,111.877434,-63.415524
0.462769,0.399292,1.035522,143.798828,336.914032,-15.808105
0.026733,-0.295044,-0.072266,142.76123,355.895966,1.220703
0.761597,-0.616455,-1.727173,161.621078,227.844223,77.758789
1.613159,-0.583862,-2.444702,112.487785,-8.178711,120.605461
1.062744,-0.328491,-1.62854,-46.936031,-251.708969,42.41943
0.515991,0.115479,-0.444092,-151.123047,-378.295868,-30.395506
0.190186,0.814331,1.036255,-203.18602,-397.277802,-72.021484
-0.718994,0.971802,3.497437,-188.110336,-362.670868,-128.845215
-0.361938,1.152954,3.999878,-8.117676,-174.743637,-67.687988
0.548218,0.914795,2.654053,162.292465,196.960434,20.996092
0.015137,0.257813,0.93689,147.521973,449.096649,4.943848
-0.165894,-0.160767,0.548584,112.792961,405.212372,-21.850584
0.353516,-0.228882,-0.637939,119.689934,362.915009,24.230955
1.25354,-0.694824,-2.745239,106.811516,234.863266,57.373043
1.359985,-0.814331,-3.05542,20.629881,-137.573242,83.007805
0.533325,-0.18103,-1.387817,-91.918938,-462.524384,55.358883
0.18103,0.58667,0.121704,-164.428696,-523.681641,-3.784179
-0.482544,1.121704,2.148071,-218.200668,-507.751434,-92.346184
-0.74353,1.121704,3.22876,-122.558586,-424.743622,-118.10302
-0.492432,1.021362,3.999878,80.26123,-119.323723,4.150391
-0.072998,0.899048,3.087769,153.503418,242.675766,22.460936
-0.257446,0.401733,1.731323,134.58252,388.183563,-31.494139
-0.38855,-0.026611,0.945557,140.625,415.283173,-20.507811
0.321411,-0.189941,-0.640991,195.739731,326.660126,43.884274
1.641724,-0.537842,-2.63623,155.273437,27.099607,70.861816
1.626587,-0.560913,-2.566406,-8.850098,-349.365204,11.535644
